Symbol,Date,Open,High,Low,Close,Volume
ACU,01-Jan-1996,3.87,3.87,3.87,3.87,0
AE,01-Jan-1996,7.13,7.13,7.13,7.13,0
AMS,01-Jan-1996,1.31,1.31,1.31,1.31,0
AND,01-Jan-1996,6.06,6.06,6.06,6.06,0
APT,01-Jan-1996,3.37,3.37,3.37,3.37,0
BCV,01-Jan-1996,22.75,22.75,22.75,22.75,0
BDL,01-Jan-1996,2,2,2,2,0
BDR,01-Jan-1996,9.75,9.75,9.75,9.75,0
BHB,01-Jan-1996,9.1667,9.1667,9.1667,9.1667,0
BRN,01-Jan-1996,2.642,2.642,2.642,2.642,0
BTI,01-Jan-1996,18.37,18.37,18.37,18.37,0
BVX,01-Jan-1996,1.5,1.5,1.5,1.5,0
CAW,01-Jan-1996,1.25,1.25,1.25,1.25,0
CCF,01-Jan-1996,2.375,2.375,2.375,2.375,0
CEF,01-Jan-1996,4.5,4.5,4.5,4.5,0
CET,01-Jan-1996,18.25,18.25,18.25,18.25,0
CKX,01-Jan-1996,2.13,2.13,2.13,2.13,0
CLM,01-Jan-1996,133.92,133.92,133.92,133.92,0
CMD,01-Jan-1996,16.25,16.25,16.25,16.25,0
CMT,01-Jan-1996,1.12,1.12,1.12,1.12,0
CNY,01-Jan-1996,9,9,9,9,0
CPI,01-Jan-1996,2.747,2.747,2.747,2.747,0
CRF,01-Jan-1996,128,128,128,128,0
CTO,01-Jan-1996,17,17,17,17,0
CUO,01-Jan-1996,6.06,6.06,6.06,6.06,0
CVM,01-Jan-1996,35.9,35.9,35.9,35.9,0
CVR,01-Jan-1996,14.5,14.5,14.5,14.5,0
CVU,01-Jan-1996,3.19,3.19,3.19,3.19,0
CYB,01-Jan-1996,9.37,9.37,9.37,9.37,0
DIT,01-Jan-1996,18,18,18,18,0
DMF,01-Jan-1996,9.25,9.25,9.25,9.25,0
DXR,01-Jan-1996,6.87,6.87,6.87,6.87,0
ECF,01-Jan-1996,9.5,9.5,9.5,9.5,0
ESP,01-Jan-1996,6.435,6.435,6.435,6.435,0
EZM,01-Jan-1996,9.22,9.22,9.22,9.22,0
FAX,01-Jan-1996,9.25,9.25,9.25,9.25,0
FRD,01-Jan-1996,3.09,3.09,3.09,3.09,0
FWV,01-Jan-1996,13.28,13.28,13.28,13.28,0
GBR,01-Jan-1996,101.2,101.2,101.2,101.2,0
GML,01-Jan-1996,3,3,3,3,0
GRC,01-Jan-1996,5.079,5.079,5.079,5.079,0
GRI,01-Jan-1996,3.5,3.5,3.5,3.5,0
GRN,01-Jan-1996,36.25,36.25,36.25,36.25,0
GSS,01-Jan-1996,5.06,5.06,5.06,5.06,0
GV,01-Jan-1996,0.25,0.25,0.25,0.25,0
GVP,01-Jan-1996,14,14,14,14,0
HH,01-Jan-1996,1.01,1.01,1.01,1.01,0
HMG,01-Jan-1996,6.66,6.66,6.66,6.66,0
HRT,01-Jan-1996,4.25,4.25,4.25,4.25,0
IAF,01-Jan-1996,8.25,8.25,8.25,8.25,0
IF,01-Jan-1996,10.12,10.12,10.12,10.12,0
IGC,01-Jan-1996,39.1,39.1,39.1,39.1,0
IHT,01-Jan-1996,5.62,5.62,5.62,5.62,0
IMO,01-Jan-1996,4.013,4.013,4.013,4.013,0
INS,01-Jan-1996,2.12,2.12,2.12,2.12,0
IOT,01-Jan-1996,3.267,3.267,3.267,3.267,0
JOB,01-Jan-1996,2.76,2.76,2.76,2.76,0
LGL,01-Jan-1996,23.53,23.53,23.53,23.53,0
LNG,01-Jan-1996,45,45,45,45,0
MCF,01-Jan-1996,0.5,0.5,0.5,0.5,0
MDY,01-Jan-1996,41.08,41.08,41.08,41.08,0
MHE,01-Jan-1996,11.12,11.12,11.12,11.12,0
MSN,01-Jan-1996,1.94,1.94,1.94,1.94,0
